"","inspection_num","boro","grade","score","cuisine_description","violation_description","inspection_date"
"28",135027,"Brooklyn","A",11,"French","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",2016-08-30
"29",86109,"Bronx","A",12,"Spanish","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2015-05-28
"30",44122,"Manhattan","A",12,"Mexican","Accurate thermometer not provided in refrigerated or hot holding equipment.",2015-12-09
"31",32857,"Manhattan","B",27,"Japanese","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",2017-05-11
"32",117640,"Brooklyn","B",18,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",2014-09-24
"33",87313,"Bronx","A",6,"Italian","Live roaches present in facility's food and/or non-food areas.",2016-04-27
"34",84854,"Bronx","B",14,"Chinese","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2015-02-02
"35",138362,"Brooklyn","A",10,"Caribbean","Hot food item not held at or above 140º F.",2015-10-02
"36",48657,"Manhattan","A",10,"French","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",2015-05-20
"37",9765,"Manhattan","A",11,"Pizza/Italian","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",2014-07-16
"38",43421,"Manhattan","A",13,"American","''''Wash hands sign not posted at hand wash facility.",2015-08-11
"39",3542,"Manhattan","A",10,"Italian","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2017-04-25
"40",51775,"Manhattan","A",13,"Pizza","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2016-01-21
"41",11048,"Manhattan","A",12,"Indian","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2016-02-29
"42",125537,"Brooklyn","B",19,"Café/Coffee/Tea","Live roaches present in facility's food and/or non-food areas.",2016-06-24
"43",1148,"Manhattan","A",8,"Salads","Food contact surface not properly maintained.",2017-02-28
"44",27783,"Manhattan","B",25,"Chinese","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",2016-06-13
"45",100125,"Queens","A",7,"American","Evidence of mice or live mice present in facility's food and/or non-food areas.",2015-01-28
"46",117461,"Brooklyn","A",7,"Japanese","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2014-12-31
"47",98311,"Bronx","A",10,"Donuts","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2017-07-07
"48",136159,"Brooklyn","A",10,"Jewish/Kosher","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",2016-12-27
"49",143213,"Brooklyn","A",11,"Chinese","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",2017-01-03
"50",23415,"Manhattan","A",9,"Vegetarian","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-04-21
"51",48722,"Manhattan","A",8,"Italian","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2015-07-22
"52",91153,"Bronx","A",8,"Donuts","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2015-04-08
"53",33735,"Manhattan","A",13,"Jewish/Kosher","Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",2015-05-28
"54",5999,"Manhattan","A",7,"American","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-11-18
"55",46899,"Manhattan","A",2,"American","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",2015-01-14
"56",10212,"Manhattan","A",12,"Polish","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",2017-08-29
"57",155584,"Queens","C",37,"Chinese","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",2015-09-09
"58",80605,"Staten Island","A",13,"American","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",2015-11-12
"59",107610,"Brooklyn","B",22,"American","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",2014-06-23
"60",107834,"Brooklyn","A",4,"Donuts","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-04-29
"61",68081,"Manhattan","A",7,"Sandwiches","Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",2016-02-03
"62",139266,"Brooklyn","A",4,"American","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2017-07-21
"63",129729,"Brooklyn","A",12,"Jewish/Kosher","Covered garbage receptacle not provided or inadequate, except that garbage receptacle may be uncovered during active use. Garbage storage area not properly constructed or maintained; grinder or compactor dirty.",2016-06-02
"64",19185,"Manhattan","B",20,"Caribbean","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2015-01-13
"65",112091,"Brooklyn","A",7,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2015-01-14
"66",156617,"Queens","A",13,"Spanish","Accurate thermometer not provided in refrigerated or hot holding equipment.",2017-05-09
"67",69710,"Manhattan","A",5,"Tapas","Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",2016-07-07
"68",4922,"Manhattan","A",4,"American","Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",2016-10-12
"69",29064,"Manhattan","A",11,"American","Single service item reused, improperly stored, dispensed; not used when required.",2014-03-21
"70",114910,"Brooklyn","B",22,"Chicken","Evidence of mice or live mice present in facility's food and/or non-food areas.",2016-02-03
"71",82464,"Bronx","A",12,"Spanish","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2014-11-06
"72",45318,"Manhattan","A",12,"Japanese","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",2015-01-14
"73",83162,"Bronx","A",8,"Pizza","Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",2015-05-16
"74",79832,"Staten Island","A",9,"Pizza/Italian","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-10-12
"75",185447,"Queens","B",16,"Chicken","Hot food item not held at or above 140º F.",2017-01-09
"76",166015,"Queens","A",10,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Evidence of mice or live mice present in facility's food and/or non-food areas.",2015-06-30
"77",138251,"Brooklyn","C",33,"Creole","Food Protection Certificate not held by supervisor of food operations.",2016-04-30
"78",51700,"Manhattan","A",12,"American","Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.",2017-06-07
"79",173062,"Queens","A",6,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Single service item reused, improperly stored, dispensed; not used when required.",2016-02-25
"80",74900,"Staten Island","B",17,"American","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",2014-07-01
"81",46632,"Manhattan","A",12,"American","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",2016-10-03
"82",85886,"Bronx","A",4,"Chicken","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2014-03-26
"83",135139,"Brooklyn","B",14,"American","Food Protection Certificate not held by supervisor of food operations.",2016-05-19
"84",74622,"Manhattan","A",8,"American","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2017-06-27
"85",57545,"Manhattan","A",12,"Continental","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",2016-12-09
"86",155243,"Queens","A",12,"Chinese","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2015-05-19
"87",112005,"Brooklyn","A",11,"Middle Eastern","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-05-25
"88",118480,"Brooklyn","A",7,"Thai","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",2017-08-01
"89",127417,"Brooklyn","C",43,"Bagels/Pretzels","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",2016-10-25
"90",38867,"Manhattan","A",6,"Irish","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",2014-10-02
"91",156327,"Queens","A",10,"American","Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",2017-03-23
"92",170858,"Queens","A",12,"Greek","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",2017-07-19
"93",161139,"Queens","A",7,"Chinese","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",2014-01-07
"94",55910,"Manhattan","A",12,"American","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2014-11-25
"95",88916,"Bronx","A",9,"Chinese","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",2016-01-14
"96",32088,"Manhattan","A",12,"American","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2017-10-16
"97",6050,"Manhattan","A",13,"Chinese","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2015-11-09
"98",119756,"Brooklyn","A",13,"Italian","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",2015-06-20
"99",162233,"Queens","A",3,"Spanish","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-03-08
"100",18135,"Manhattan","B",25,"American","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",2016-07-19
"101",181889,"Queens","A",10,"Chinese","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-11-23
"102",103312,"Queens","A",9,"American","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",2015-10-26
"103",93176,"Bronx","A",10,"Bakery","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",2014-07-28
"104",156009,"Queens","A",7,"Pizza","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",2015-06-17
"105",57448,"Manhattan","A",9,"Pizza/Italian","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",2017-05-25
"106",61766,"Manhattan","A",10,"Pizza","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-10-11
"107",134962,"Brooklyn","A",12,"Italian","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2017-05-25
"108",126456,"Brooklyn","A",7,"Indian","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.",2015-07-16
"109",7571,"Manhattan","A",11,"Chinese","''''Wash hands sign not posted at hand wash facility.",2017-10-13
"110",77247,"Staten Island","A",9,"American","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2014-06-16
"111",20151,"Manhattan","A",8,"American","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-03-22
"112",88860,"Bronx","A",12,"Pizza/Italian","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2017-06-15
"113",140979,"Brooklyn","A",12,"American","Hot food item not held at or above 140º F.",2014-11-06
"114",166527,"Queens","A",8,"Peruvian","Proper sanitization not provided for utensil ware washing operation.",2015-10-28
"115",23928,"Manhattan","A",13,"Bakery","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-04-28
"116",33041,"Manhattan","A",9,"Soups & Sandwiches","Evidence of mice or live mice present in facility's food and/or non-food areas.",2016-12-22
"117",75422,"Staten Island","A",11,"Chinese","Evidence of mice or live mice present in facility's food and/or non-food areas.",2016-08-31
"118",183528,"Queens","A",2,"American","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",2014-07-23
"119",61713,"Manhattan","A",9,"Chinese","Thawing procedures improper.",2014-11-21
"120",182714,"Queens","B",19,"Caribbean","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",2014-08-14
"121",53102,"Manhattan","A",5,"Asian","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2015-02-10
"122",98025,"Bronx","A",7,"Japanese","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.",2016-03-03
"123",71274,"Manhattan","A",7,"American","Hot food item not held at or above 140º F.",2015-01-05
"124",86252,"Bronx","B",25,"Chinese","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",2016-08-24
"125",19842,"Manhattan","A",12,"Spanish","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2014-07-30
"126",124514,"Brooklyn","A",10,"American","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",2014-08-11
"127",59214,"Manhattan","A",3,"Donuts","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-03-09
"128",113504,"Brooklyn","A",7,"Pizza","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-07-21
"129",21943,"Manhattan","A",12,"American","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",2014-09-24
"130",19621,"Manhattan","A",11,"French","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2014-11-06
"131",20137,"Manhattan","A",11,"Chicken","Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",2015-04-16
"132",178744,"Queens","A",8,"Seafood","Canned food product observed dented and not segregated from other consumable food items.",2015-04-21
"133",152357,"Queens","A",12,"Pizza/Italian","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-03-16
"134",25047,"Manhattan","B",21,"Chinese","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2016-11-21
"135",11263,"Manhattan","A",8,"Tapas","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2015-03-09
"136",165251,"Queens","B",15,"Pizza","Evidence of mice or live mice present in facility's food and/or non-food areas.",2014-10-20
"137",108259,"Brooklyn","A",9,"Pizza","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",2015-07-30
"138",169916,"Queens","A",11,"Japanese","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.",2016-04-21
"139",23993,"Manhattan","B",26,"American","Evidence of mice or live mice present in facility's food and/or non-food areas.",2016-05-05
"140",63558,"Manhattan","A",5,"Italian","Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",2014-09-23
"141",10401,"Manhattan","A",12,"Pizza","Eggs found dirty/cracked; liquid, frozen or powdered eggs not pasteurized.",2014-07-21
"142",85754,"Bronx","A",9,"Chinese","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-02-04
"143",49333,"Manhattan","A",12,"American","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",2016-10-19
"144",72652,"Manhattan","A",12,"Mexican","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2015-11-09
"145",102911,"Queens","B",24,"American","Wiping cloths soiled or not stored in sanitizing solution.",2015-12-15
"146",142304,"Brooklyn","A",12,"American","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2014-04-24
"147",147418,"Brooklyn","A",11,"Caribbean","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2017-04-01
"148",178816,"Queens","A",12,"Italian","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-10-27
"149",152937,"Queens","C",40,"Korean","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",2015-06-05
"150",93496,"Bronx","A",9,"Chinese","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",2015-11-09
"151",167381,"Queens","B",24,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",2017-04-04
"152",102396,"Queens","A",10,"Spanish","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",2016-06-22
"153",60930,"Manhattan","A",11,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",2016-11-28
"154",123100,"Brooklyn","A",11,"Pizza","Evidence of mice or live mice present in facility's food and/or non-food areas.",2015-12-10
"155",149066,"Brooklyn","A",7,"American","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2017-09-09
"156",77458,"Staten Island","A",6,"Chinese","Single service item reused, improperly stored, dispensed; not used when required.",2017-07-06
"157",136755,"Brooklyn","A",9,"American","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",2017-08-01
"158",8084,"Manhattan","A",13,"Mexican","Food contact surface not properly maintained.",2017-09-05
"159",19237,"Manhattan","A",12,"French","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",2017-02-07
"160",19933,"Manhattan","B",16,"American","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",2013-12-19
"161",28516,"Manhattan","A",10,"Italian","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",2015-10-05
"162",78071,"Staten Island","B",16,"Pizza","Hot food item not held at or above 140º F.",2017-04-11
"163",182445,"Queens","A",6,"Spanish","Evidence of mice or live mice present in facility's food and/or non-food areas.",2015-09-03
"164",176262,"Queens","A",12,"Caribbean","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",2016-10-28
"165",157482,"Queens","A",10,"Café/Coffee/Tea","Proper sanitization not provided for utensil ware washing operation.",2016-01-15
"166",134992,"Brooklyn","A",12,"Portuguese","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-04-19
"167",50348,"Manhattan","A",7,"American","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-08-09
