"","X1","inspection_num","boro","grade","score","cuisine_description","violation_description","inspection_date"
"17",47018,47018,"Manhattan","A",13,"American","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2017-08-07
"18",111855,111855,"Brooklyn","B",26,"Italian","Evidence of mice or live mice present in facility's food and/or non-food areas.",2016-12-13
"19",75888,75888,"Staten Island","A",7,"Caribbean","Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.",2016-11-28
"20",161979,161983,"Queens","A",13,"American","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",2014-09-08
"21",1182,1182,"Manhattan","A",12,"Korean","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.",2016-01-25
"22",63513,63513,"Manhattan","A",10,"Sandwiches","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2017-05-19
"23",39938,39938,"Manhattan","A",13,"Bakery","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",2016-03-18
"24",95200,95200,"Bronx","A",12,"Mexican","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",2017-07-17
"25",75999,75999,"Staten Island","B",21,"Spanish","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2017-01-10
"26",55398,55398,"Manhattan","A",2,"CafÃ©/Coffee/Tea","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2017-02-15
"27",92693,92693,"Bronx","A",7,"American","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-02-17
"28",60327,60327,"Manhattan","B",17,"Chinese","Wiping cloths soiled or not stored in sanitizing solution.",2016-09-28
"29",156763,156767,"Queens","A",11,"Asian","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",2016-04-04
"30",125942,125942,"Brooklyn","A",7,"Juice, Smoothies, Fruit Salads","Single service item reused, improperly stored, dispensed; not used when required.",2016-11-04
"31",86597,86597,"Bronx","A",5,"Eastern European","Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.",2017-07-17
"32",82848,82848,"Bronx","A",11,"American","Live roaches present in facility's food and/or non-food areas.",2016-09-08
"33",85385,85385,"Bronx","A",13,"American","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2017-05-11
"34",145798,145798,"Brooklyn","B",26,"Japanese","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",2015-01-13
"35",83144,83144,"Bronx","A",8,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2014-04-10
"36",59747,59747,"Manhattan","B",24,"Italian","Wiping cloths soiled or not stored in sanitizing solution.",2016-09-07
"37",78336,78336,"Staten Island","B",20,"Pizza","Hot food item not held at or above 140Âº F.",2014-04-24
"38",171262,171266,"Queens","A",13,"Italian","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2017-05-24
"39",30612,30612,"Manhattan","B",17,"Brazilian","Evidence of mice or live mice present in facility's food and/or non-food areas.",2014-09-17
"40",129261,129261,"Brooklyn","A",12,"Chicken","Food Protection Certificate not held by supervisor of food operations.",2015-07-21
"41",24279,24279,"Manhattan","A",13,"Seafood","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",2015-09-03
"42",115255,115255,"Brooklyn","A",12,"Pizza","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2017-05-09
"43",112432,112432,"Brooklyn","A",6,"American","Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.",2017-03-25
"44",133417,133417,"Brooklyn","B",18,"Spanish","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",2016-11-02
"45",21911,21911,"Manhattan","A",7,"Pizza","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",2016-03-09
"46",102047,102047,"Queens","B",17,"Delicatessen","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",2014-03-13
"47",122188,122188,"Brooklyn","A",12,"Chinese","Hot food item not held at or above 140Âº F.",2017-05-22
"48",81906,81906,"Bronx","A",13,"Soul Food","Live roaches present in facility's food and/or non-food areas.",2017-09-13
"49",87185,87185,"Bronx","A",7,"Chinese","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",2017-08-09
"50",135972,135972,"Brooklyn","A",9,"Chinese","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-06-30
"51",66303,66303,"Manhattan","A",11,"Thai","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2017-07-11
"52",60930,60930,"Manhattan","A",11,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",2016-11-28
"53",7748,7748,"Manhattan","A",9,"CafÃ©/Coffee/Tea","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-03-25
"54",174542,174546,"Queens","A",10,"Donuts","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",2016-12-13
"55",162648,162652,"Queens","A",2,"American","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-06-07
"56",70275,70275,"Manhattan","A",12,"American","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",2014-12-16
"57",51163,51163,"Manhattan","A",9,"Irish","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",2014-09-29
"58",41336,41336,"Manhattan","A",10,"Italian","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2014-10-23
"59",161464,161468,"Queens","A",10,"Continental","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2015-02-20
"60",112897,112897,"Brooklyn","A",12,"Spanish","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",2016-02-26
"61",85692,85692,"Bronx","A",11,"American","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",2014-10-30
"62",150055,150055,"Brooklyn","A",9,"Japanese","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-08-22
"63",86468,86468,"Bronx","B",27,"Chinese","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",2016-01-26
"64",44882,44882,"Manhattan","A",13,"Pizza","Wiping cloths soiled or not stored in sanitizing solution.",2015-11-18
"65",56156,56156,"Manhattan","A",13,"American","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",2014-11-07
"66",69510,69510,"Manhattan","A",13,"Chicken","Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",2014-05-17
"67",6632,6632,"Manhattan","B",20,"Asian","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",2016-12-28
"68",178960,178964,"Queens","A",12,"American","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2014-12-19
"69",139041,139041,"Brooklyn","A",8,"Chinese","Hot food item not held at or above 140Âº F.",2015-09-14
"70",113548,113548,"Brooklyn","A",5,"Hamburgers","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-04-06
"71",78390,78390,"Staten Island","A",11,"Asian","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2017-06-15
"72",123503,123503,"Brooklyn","A",10,"Bagels/Pretzels","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",2015-05-21
"73",44871,44871,"Manhattan","A",13,"American","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",2014-09-15
"74",52968,52968,"Manhattan","A",10,"Thai","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2016-08-16
"75",44643,44643,"Manhattan","B",22,"Indian","Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",2016-07-12
"76",143069,143069,"Brooklyn","A",7,"Chinese","Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",2017-03-02
"77",98702,98702,"Queens","A",9,"American","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",2014-08-25
"78",17852,17852,"Manhattan","C",37,"American","Evidence of mice or live mice present in facility's food and/or non-food areas.",2016-03-01
"79",80177,80177,"Staten Island","A",7,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",2016-05-12
"80",139085,139085,"Brooklyn","B",22,"Chinese","Evidence of mice or live mice present in facility's food and/or non-food areas.",2017-03-29
"81",186200,186204,"Queens","A",12,"Chinese","Food from unapproved or unknown source or home canned. Reduced oxygen packaged (ROP) fish not frozen before processing; or ROP foods prepared on premises transported to another site.",2015-05-07
"82",174980,174984,"Queens","B",22,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",2015-12-03
"83",68733,68733,"Manhattan","A",13,"American","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2017-04-10
"84",125577,125577,"Brooklyn","A",9,"Italian","Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",2015-07-09
"85",84155,84155,"Bronx","A",11,"Spanish","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",2017-02-03
"86",131926,131926,"Brooklyn","C",33,"Bakery","Evidence of mice or live mice present in facility's food and/or non-food areas.",2015-04-22
"87",139229,139229,"Brooklyn","B",27,"Caribbean","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",2017-01-12
"88",82093,82093,"Bronx","A",8,"Chinese","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2016-09-28
"89",52704,52704,"Manhattan","A",12,"Indian","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",2017-01-11
"90",149154,149154,"Brooklyn","A",12,"Pizza","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",2014-12-29
"91",17186,17186,"Manhattan","A",13,"Mexican","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2017-05-31
"92",159736,159740,"Queens","A",8,"Pizza","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",2015-12-16
"93",33157,33157,"Manhattan","A",13,"Italian","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",2014-11-07
"94",182555,182559,"Queens","A",12,"Caribbean","Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",2015-05-19
"95",112731,112731,"Brooklyn","A",4,"CafÃ©/Coffee/Tea","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2017-05-26
"96",10008,10008,"Manhattan","A",4,"Japanese","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-11-28
"97",172555,172559,"Queens","A",7,"Spanish","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",2015-02-19
"98",42433,42433,"Manhattan","A",4,"French","Food contact surface not properly maintained.",2016-04-19
"99",33394,33394,"Manhattan","A",12,"American","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",2016-12-16
"100",64265,64265,"Manhattan","A",12,"American","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",2015-12-23
"101",122336,122336,"Brooklyn","A",12,"Spanish","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2015-05-27
"102",145757,145757,"Brooklyn","A",12,"Pizza","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",2017-01-21
"103",186605,186609,"Queens","A",13,"Mexican","Live roaches present in facility's food and/or non-food areas.",2014-05-14
"104",62696,62696,"Manhattan","A",10,"Spanish","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",2015-11-12
"105",61494,61494,"Manhattan","A",13,"Italian","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",2015-04-30
"106",186431,186435,"Queens","A",9,"Bakery","Covered garbage receptacle not provided or inadequate, except that garbage receptacle may be uncovered during active use. Garbage storage area not properly constructed or maintained; grinder or compactor dirty.",2016-08-05
"107",108290,108290,"Brooklyn","A",9,"American","Accurate thermometer not provided in refrigerated or hot holding equipment.",2017-04-19
"108",184669,184673,"Queens","A",5,"Donuts","Accurate thermometer not provided in refrigerated or hot holding equipment.",2014-10-27
"109",38103,38103,"Manhattan","C",59,"Chicken","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",2015-12-24
"110",21258,21258,"Manhattan","B",19,"Hamburgers","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2016-11-28
"111",18387,18387,"Manhattan","A",11,"Bagels/Pretzels","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2017-02-13
"112",11899,11899,"Manhattan","A",9,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",2017-08-11
"113",64031,64031,"Manhattan","A",10,"American","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2017-06-28
"114",17088,17088,"Manhattan","B",25,"American","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2016-07-19
"115",105845,105845,"Queens","A",9,"Chinese","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",2016-06-15
"116",151281,151282,"Brooklyn","A",5,"Delicatessen","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2015-10-05
"117",11554,11554,"Manhattan","C",34,"Asian","Evidence of rats or live rats present in facility's food and/or non-food areas.",2014-10-28
"118",80774,80774,"Staten Island","A",5,"Filipino","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.",2015-07-01
"119",105118,105118,"Queens","B",23,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",2014-11-07
"120",32023,32023,"Manhattan","A",13,"American","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",2015-08-26
"121",141239,141239,"Brooklyn","B",26,"Jewish/Kosher","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",2017-03-21
"122",129060,129060,"Brooklyn","B",25,"Spanish","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",2015-05-14
"123",165640,165644,"Queens","A",6,"Spanish","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",2014-07-23
"124",100187,100187,"Queens","A",4,"American","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",2015-03-06
"125",161772,161776,"Queens","A",10,"Continental","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2016-12-21
"126",79958,79958,"Staten Island","B",22,"Donuts","Accurate thermometer not provided in refrigerated or hot holding equipment.",2015-12-01
"127",138504,138504,"Brooklyn","A",10,"Caribbean","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",2016-02-20
"128",38334,38334,"Manhattan","A",12,"CafÃ©/Coffee/Tea","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",2014-10-24
"129",185969,185973,"Queens","A",7,"American","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2015-01-15
"130",68660,68660,"Manhattan","A",13,"Asian","Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",2016-04-27
"131",101079,101079,"Queens","B",17,"American","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2015-07-01
"132",139526,139526,"Brooklyn","A",12,"Pizza","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2017-02-16
"133",78116,78116,"Staten Island","A",12,"Italian","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2017-02-22
"134",44799,44799,"Manhattan","A",5,"Seafood","Food contact surface not properly maintained.",2016-03-18
"135",13117,13117,"Manhattan","C",51,"Sandwiches/Salads/Mixed Buffet","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",2016-04-25
"136",123691,123691,"Brooklyn","A",12,"Mexican","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2016-04-28
"137",5085,5085,"Manhattan","A",12,"Sandwiches","Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",2015-08-19
"138",95645,95645,"Bronx","A",5,"Chinese","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2017-05-17
"139",151978,151982,"Queens","A",12,"Chinese","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2016-10-18
"140",98773,98773,"Queens","A",12,"American","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2016-12-09
"141",105147,105147,"Queens","A",12,"Indian","Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",2016-03-10
"142",119548,119548,"Brooklyn","A",12,"Japanese","Hot food item not held at or above 140Âº F.",2014-11-26
"143",40104,40104,"Manhattan","A",12,"Italian","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",2017-05-31
"144",16051,16051,"Manhattan","A",5,"American","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",2017-03-21
"145",130170,130170,"Brooklyn","A",6,"Bakery","Lighting inadequate; permanent lighting not provided in food preparation areas, ware washing areas, and storage rooms.",2017-01-12
"146",124127,124127,"Brooklyn","A",12,"Chinese","Hot food item not held at or above 140Âº F.",2014-02-11
"147",67101,67101,"Manhattan","A",9,"American","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2015-02-05
"148",186723,186727,"Queens","A",5,"Chinese","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.",2015-05-28
"149",174407,174411,"Queens","A",7,"Mexican","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",2016-12-07
"150",159798,159802,"Queens","A",12,"Korean","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2014-09-18
"151",94381,94381,"Bronx","B",26,"Donuts","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",2015-07-01
"152",75834,75834,"Staten Island","A",13,"Mexican","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",2017-06-08
"153",105271,105271,"Queens","A",6,"Spanish","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",2014-10-06
